==================================================
Flight started: 2026-08-24 22:21:27
==================================================
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.23m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.23m
22:21:28 [BAT] Percentage: 51, Voltage: 15.30V
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.23m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.23m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.23m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.23m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.23m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.24m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.24m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.24m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.24m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.24m
22:21:28 [BAT] Percentage: 50, Voltage: 15.30V
22:21:28 [PROG] Health OK
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.24m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.24m
22:21:28 [PROG] Mission uploaded
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.24m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.24m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.25m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.25m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.25m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.25m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.25m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.25m
22:21:28 [POS] Lat: 47.397970, Lon: 8.546165, Alt: -0.25m
