==================================================
Flight started: 2026-08-24 22:15:05
==================================================
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.35m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.35m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.35m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.35m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.35m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.34m
22:15:06 [BAT] Percentage: 100, Voltage: 16.20V
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.34m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.34m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.34m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.34m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.34m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.33m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.33m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.33m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.33m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.33m
22:15:06 [BAT] Percentage: 100, Voltage: 16.20V
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.33m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.33m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.33m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.32m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.32m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.32m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.32m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.32m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.32m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.32m
22:15:06 [BAT] Percentage: 100, Voltage: 16.20V
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.32m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.32m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.32m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.31m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.31m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.31m
22:15:06 [POS] Lat: 47.397971, Lon: 8.546166, Alt: 0.31m
