==================================================
Flight started: 2026-08-24 22:23:55
==================================================
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.06m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.06m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.06m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.06m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.06m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.05m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.05m
22:23:56 [BAT] Percentage: 100, Voltage: 16.20V
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.05m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.05m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.05m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.05m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.05m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.05m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.05m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.04m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.04m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.04m
22:23:56 [BAT] Percentage: 100, Voltage: 16.20V
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.04m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.04m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.04m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.04m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.04m
22:23:56 [POS] Lat: 47.397971, Lon: 8.546165, Alt: 0.04m
