==================================================
Flight started: 2026-08-24 22:16:31
==================================================
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.04m
22:16:32 [BAT] Percentage: 93, Voltage: 16.07V
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.04m
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.04m
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.05m
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.05m
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.05m
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.05m
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.05m
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.05m
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.06m
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.06m
22:16:32 [PROG] Health OK
22:16:32 [BAT] Percentage: 94, Voltage: 16.10V
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.06m
22:16:32 [PROG] Mission uploaded
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.06m
22:16:32 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.06m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.06m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.06m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.06m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.06m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.07m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.07m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.07m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.07m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.07m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.07m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.07m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.07m
22:16:33 [POS] Lat: 47.397971, Lon: 8.546164, Alt: -0.08m
