==================================================
Flight started: 2026-08-24 22:16:17
==================================================
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [BAT] Percentage: 100, Voltage: 16.20V
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [PROG] Health OK
22:16:18 [BAT] Percentage: 100, Voltage: 16.20V
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [PROG] Mission uploaded
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.31m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.30m
22:16:18 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.30m
22:16:19 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.30m
22:16:19 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.30m
22:16:19 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.30m
22:16:19 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.30m
22:16:19 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.30m
22:16:19 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.30m
22:16:19 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.29m
22:16:19 [POS] Lat: 47.397972, Lon: 8.546163, Alt: 0.29m
