==================================================
Flight started: 2026-08-25 11:08:46
==================================================
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.36m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.36m
11:08:49 [BAT] Percentage: 100, Voltage: 16.20V
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.36m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.36m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.36m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.36m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.36m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.36m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.37m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.37m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.37m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.37m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.37m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.37m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.38m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.37m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.37m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.37m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.37m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.38m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.38m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.38m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.38m
11:08:49 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.38m
11:08:49 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.38m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.40m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.40m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.40m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.40m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.40m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.40m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397971, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
11:08:50 [POS] Lat: 47.397970, Lon: 8.546162, Alt: -0.39m
