==================================================
Flight started: 2026-09-17 10:34:05
==================================================
10:34:10 [POS] Lat: 47.397973, Lon: 8.546163, Alt: 0.17m
10:34:10 [POS] Lat: 47.397973, Lon: 8.546163, Alt: 0.18m
10:34:10 [POS] Lat: 47.397974, Lon: 8.546163, Alt: 0.20m
10:34:10 [POS] Lat: 47.397974, Lon: 8.546163, Alt: 0.21m
10:34:10 [POS] Lat: 47.397974, Lon: 8.546163, Alt: 0.23m
10:34:10 [POS] Lat: 47.397975, Lon: 8.546163, Alt: 0.24m
10:34:10 [POS] Lat: 47.397975, Lon: 8.546163, Alt: 0.26m
10:34:10 [POS] Lat: 47.397975, Lon: 8.546163, Alt: 0.28m
10:34:10 [POS] Lat: 47.397976, Lon: 8.546163, Alt: 0.30m
10:34:10 [POS] Lat: 47.397976, Lon: 8.546163, Alt: 0.32m
10:34:10 [POS] Lat: 47.397977, Lon: 8.546163, Alt: 0.34m
10:34:10 [POS] Lat: 47.397977, Lon: 8.546163, Alt: 0.36m
10:34:10 [POS] Lat: 47.397978, Lon: 8.546163, Alt: 0.39m
10:34:10 [POS] Lat: 47.397978, Lon: 8.546163, Alt: 0.42m
10:34:10 [POS] Lat: 47.397979, Lon: 8.546163, Alt: 0.45m
10:34:10 [POS] Lat: 47.397979, Lon: 8.546163, Alt: 0.48m
10:34:10 [POS] Lat: 47.397979, Lon: 8.546162, Alt: 0.52m
10:34:10 [POS] Lat: 47.397980, Lon: 8.546162, Alt: 0.55m
10:34:10 [POS] Lat: 47.397981, Lon: 8.546162, Alt: 0.59m
10:34:10 [POS] Lat: 47.397981, Lon: 8.546162, Alt: 0.63m
10:34:10 [POS] Lat: 47.397982, Lon: 8.546162, Alt: 0.68m
10:34:10 [POS] Lat: 47.397982, Lon: 8.546162, Alt: 0.71m
10:34:10 [POS] Lat: 47.397983, Lon: 8.546162, Alt: 0.76m
10:34:11 [POS] Lat: 47.397983, Lon: 8.546162, Alt: 0.80m
10:34:11 [POS] Lat: 47.397984, Lon: 8.546162, Alt: 0.85m
10:34:11 [POS] Lat: 47.397985, Lon: 8.546162, Alt: 0.89m
10:34:11 [POS] Lat: 47.397985, Lon: 8.546162, Alt: 0.94m
10:34:11 [POS] Lat: 47.397986, Lon: 8.546162, Alt: 0.98m
10:34:11 [POS] Lat: 47.397987, Lon: 8.546161, Alt: 1.04m
10:34:11 [POS] Lat: 47.397987, Lon: 8.546161, Alt: 1.08m
10:34:11 [POS] Lat: 47.397988, Lon: 8.546161, Alt: 1.13m
10:34:11 [POS] Lat: 47.397989, Lon: 8.546161, Alt: 1.17m
10:34:11 [POS] Lat: 47.397989, Lon: 8.546161, Alt: 1.23m
10:34:11 [POS] Lat: 47.397990, Lon: 8.546161, Alt: 1.27m
10:34:11 [POS] Lat: 47.397991, Lon: 8.546161, Alt: 1.32m
10:34:11 [POS] Lat: 47.397991, Lon: 8.546160, Alt: 1.36m
10:34:11 [POS] Lat: 47.397992, Lon: 8.546160, Alt: 1.42m
10:34:11 [POS] Lat: 47.397993, Lon: 8.546160, Alt: 1.46m
10:34:11 [POS] Lat: 47.397994, Lon: 8.546160, Alt: 1.52m
10:34:11 [POS] Lat: 47.397994, Lon: 8.546160, Alt: 1.56m
10:34:11 [POS] Lat: 47.397995, Lon: 8.546160, Alt: 1.62m
10:34:11 [POS] Lat: 47.397996, Lon: 8.546160, Alt: 1.66m
10:34:11 [POS] Lat: 47.397997, Lon: 8.546160, Alt: 1.72m
10:34:11 [POS] Lat: 47.397997, Lon: 8.546160, Alt: 1.76m
10:34:11 [POS] Lat: 47.397998, Lon: 8.546159, Alt: 1.83m
10:34:11 [POS] Lat: 47.397999, Lon: 8.546159, Alt: 1.87m
10:34:11 [POS] Lat: 47.398000, Lon: 8.546159, Alt: 1.94m
10:34:11 [POS] Lat: 47.398001, Lon: 8.546159, Alt: 1.98m
10:34:11 [POS] Lat: 47.398002, Lon: 8.546159, Alt: 2.05m
10:34:11 [POS] Lat: 47.398002, Lon: 8.546159, Alt: 2.09m
10:34:11 [POS] Lat: 47.398003, Lon: 8.546159, Alt: 2.16m
10:34:11 [POS] Lat: 47.398004, Lon: 8.546159, Alt: 2.20m
10:34:11 [POS] Lat: 47.398005, Lon: 8.546159, Alt: 2.27m
10:34:11 [POS] Lat: 47.398006, Lon: 8.546159, Alt: 2.31m
10:34:11 [POS] Lat: 47.398007, Lon: 8.546159, Alt: 2.38m
10:34:11 [POS] Lat: 47.398007, Lon: 8.546159, Alt: 2.43m
10:34:11 [POS] Lat: 47.398008, Lon: 8.546159, Alt: 2.50m
10:34:11 [POS] Lat: 47.398009, Lon: 8.546159, Alt: 2.54m
10:34:11 [POS] Lat: 47.398010, Lon: 8.546159, Alt: 2.61m
10:34:11 [POS] Lat: 47.398011, Lon: 8.546159, Alt: 2.65m
10:34:11 [POS] Lat: 47.398012, Lon: 8.546159, Alt: 2.72m
10:34:11 [POS] Lat: 47.398013, Lon: 8.546159, Alt: 2.77m
10:34:11 [POS] Lat: 47.398014, Lon: 8.546159, Alt: 2.84m
10:34:11 [POS] Lat: 47.398014, Lon: 8.546159, Alt: 2.88m
10:34:11 [POS] Lat: 47.398015, Lon: 8.546159, Alt: 2.95m
10:34:11 [POS] Lat: 47.398016, Lon: 8.546159, Alt: 3.00m
10:34:11 [POS] Lat: 47.398017, Lon: 8.546159, Alt: 3.07m
10:34:11 [POS] Lat: 47.398018, Lon: 8.546159, Alt: 3.11m
10:34:11 [POS] Lat: 47.398019, Lon: 8.546159, Alt: 3.18m
10:34:11 [POS] Lat: 47.398019, Lon: 8.546159, Alt: 3.23m
10:34:11 [BAT] Percentage: 93, Voltage: 16.05V
10:34:11 [POS] Lat: 47.398020, Lon: 8.546159, Alt: 3.30m
10:34:11 [POS] Lat: 47.398021, Lon: 8.546159, Alt: 3.35m
10:34:11 [POS] Lat: 47.398022, Lon: 8.546159, Alt: 3.41m
10:34:12 [POS] Lat: 47.398023, Lon: 8.546159, Alt: 3.46m
10:34:12 [POS] Lat: 47.398024, Lon: 8.546160, Alt: 3.53m
10:34:12 [POS] Lat: 47.398024, Lon: 8.546160, Alt: 3.58m
10:34:12 [POS] Lat: 47.398025, Lon: 8.546160, Alt: 3.65m
10:34:12 [POS] Lat: 47.398026, Lon: 8.546160, Alt: 3.70m
10:34:12 [POS] Lat: 47.398027, Lon: 8.546160, Alt: 3.77m
10:34:12 [POS] Lat: 47.398027, Lon: 8.546160, Alt: 3.82m
10:34:12 [POS] Lat: 47.398028, Lon: 8.546160, Alt: 3.89m
10:34:12 [POS] Lat: 47.398029, Lon: 8.546160, Alt: 3.94m
10:34:12 [POS] Lat: 47.398030, Lon: 8.546160, Alt: 4.01m
10:34:12 [POS] Lat: 47.398030, Lon: 8.546160, Alt: 4.06m
10:34:12 [POS] Lat: 47.398031, Lon: 8.546160, Alt: 4.13m
10:34:12 [POS] Lat: 47.398031, Lon: 8.546160, Alt: 4.18m
10:34:12 [POS] Lat: 47.398032, Lon: 8.546161, Alt: 4.25m
10:34:12 [POS] Lat: 47.398033, Lon: 8.546161, Alt: 4.29m
10:34:12 [POS] Lat: 47.398034, Lon: 8.546161, Alt: 4.36m
10:34:12 [POS] Lat: 47.398034, Lon: 8.546161, Alt: 4.41m
10:34:12 [POS] Lat: 47.398035, Lon: 8.546161, Alt: 4.48m
10:34:12 [POS] Lat: 47.398035, Lon: 8.546162, Alt: 4.52m
10:34:12 [POS] Lat: 47.398036, Lon: 8.546162, Alt: 4.59m
10:34:12 [POS] Lat: 47.398037, Lon: 8.546162, Alt: 4.63m
10:34:12 [POS] Lat: 47.398038, Lon: 8.546162, Alt: 4.70m
10:34:12 [POS] Lat: 47.398038, Lon: 8.546162, Alt: 4.75m
